Chromosome Arm	OVCA97	OVCA44	OVCA3	OVCA4	OVCA5	OVCA6	OVCA13	OVCA43	OVCA33	OVCA34	OVCA9	OVCA35	OVCA36	OVCA11	OVCA45	OVCA46	OVCA47	OVCA15	OVCA17	OVCA18	OVCA37	OVCA48	OVCA50	OVCA51	OVCA52	OVCA19	OVCA22	OVCA23	OVCA27	OVCA29	OVCA38	OVCA30	OVCA53	OVCA54	OVCA31	OVCA32	OVCA39	OVCA2	OVCA14	OVCA40	OVCA41	OVCA42	OVCA56	OVCA57	OVCA58	OVCA59	OVCA60	OVCA61	OVCA62	OVCA63	OVCA64	OVCA65	OVCA67	OVCA68	OVCA69	OVCA70	OVCA71	OVCA73	OVCA74	OVCA75	OVCA76	OVCA77	OVCA78	OVCA79	OVCA80	OVCA81	OVCA82	OVCA83	OVCA84	OVCA85	OVCA86	OVCA87	OVCA88	OVCA89	OVCA90	OVCA91	OVCA92	OVCA93	OVCA94	OVCA95	OVCA96	OVCA98	OVCA99	OVCA100	OVCA101	OVCA103	OVCA104	OVCA105	OVCA106	OVCA107	OVCA108	OVCA109	OVCA110	OVCA113	OVCA114	OVCA115	OVCA116	OVCA118	OVCA119	OVCA120	OVCA121	OVCA122	OVCA123	OVCA124	OVCA125	OVCA126	OVCA128	OVCA129	OVCA24	OVCA55	OVCA66	OVCA72	OVCA102	OVCA111	OVCA112	OVCA127	OVCA268
14q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422	0	0	0	0	0	0	0	0	0	0	0	0	0.392	0	0	0	0	0	0	0.718	0	0	0	0	0	0	0	0	-0.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308	0.637	0	0	0	0	0	0	-0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.295	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0	0.767	0	0	0	-0.466	0	0	0	0	0	0	0	0	0	0	0	0
15q	0	0	0	0	0	0	0	0	-0.405	-0.501	0	0	0	-0.834	0	0.274	-0.701	-0.41	0	0	0.64	0	0	0	-0.274	0	0	0	0	0	0	0	-0.322	0	0	0	0	0	0	0	0	0	0	0	-0.739	-0.274	0	0	0	0	0	0	0	0	0	-0.324	0	0	0	0	-0.511	0	0	-0.542	-0.58	0	0	0	-0.695	0	0	0	0	0	0	0	0	0	0	0	0	-0.538	0	0	0	-0.302	0	0	0	0	0	0	0	0	0	0	0	-0.453	0	0	0	0	0	0.465	0	0	0	0	0	0	0	0	-0.294	0	0	-0.37	0
16p	0	0	0	0	0	0	0	0	0	0.479	0	0	0	0	0	0	0	0	0.487	0.286	0	-0.783	0	0	-0.304	0.998	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0.346	0	0	0.634	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.474	0	0	-0.53	0	0	0	0	0	0	0	0.337	0	0	0	-0.318	0	-0.846	-0.679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.446	0	0	0	0	0	0	0	0	-0.294	0	0	0	0	0	0	0	0	0	0
16q	0	0	0	0	0	-0.675	0	0	-0.359	0.479	0	0	0	0	0	0	0	0	-0.03	0	0	-0.783	0	0	0	0.433	0	0	0	-0.267	0	0	0	0	-0.259	-0.637	0	0	0	0	0	0	0	0.346	0	-0.298	0.151	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.474	0	0	-0.53	-0.463	0	0	0	0	0	0	-0.306	0	0	0	-0.318	0	-0.846	-0.679	0	-0.849	0	0	0	0	0	0	0	0	0	0	0.476	-0.626	0	0	0	-0.505	-0.85	0	0	0	0	0	0	0	0	-0.294	0	0	0	0	0	0	0	0	0	0
17p	0	0	0	0	0	0	0	0	0.482	0	0	0	0	0	0	0.402	0	-0.112	-0.501	0	0	0	0	0	0.516	0.998	0	0	0	0	0	0.722	0.508	0	0.358	0	0	-0.078	0	0.464	0	0	0	0	-0.253	0	0.169	0	0	0	0	0	0	0	0	0.011	0	0	0	0	-0.567	0	0	0	0.634	0.482	0	0	0	0	0	0	0	0.466	0.428	-0.372	0	-0.043	0	0	0.866	0	0	0	0	0	0.147	0	0	0	0	0	0	0	0	0	0	-0.287	0	0.502	-0.058	0	0	0	0.309	0	0.265	0.891	0	0	0	0	0	0	0	0.155	0
17q	0	0	0	0	0	0	0	0	0.482	0	0	0	0	0	0	0.402	0	0.716	0	0	0	0	0	0	0.516	1.599	0	0	0	0	0	0.722	1.314	0	0.649	0	0	0.334	0	1.13	0	0	0	0	-0.253	0	0.66	0	0	0	0	0	0	0	0	0.313	0	0	0	0	0	0	0	0	-0.545	0.482	0	0	0	0	0	0	0	0.466	0.428	-0.372	0	0.356	0	0	0.866	0	0	0	0	0	0.554	0.484	0	0	0	0	0	0	0	0	0	0	0	0.502	0.738	0	0	0	0.309	0	0.265	0.891	0	0	0	0	0	0	0	0.548	0
18p	0	0	0	0	0.788	0	-0.91	0	-0.328	0	-0.821	-0.285	0	0	0	0.591	0	0	-0.512	0	-0.605	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0.271	0	0	0	-0.121	-0.297	0	0	0	0	0	0	-0.488	0	0	0	0	0	0	0.294	0	0	0	0	0	0	0.73	-0.694	0	-0.443	0	0	0	0	0	-0.924	0	0	0	0.258	0	0	0	0	0.387	0	0	0	0	0	0	0.451	-0.927	0	0	0	0	0	1.295	0	0	-0.929	0	0.415	0	0	0	0	0	-0.836	0	0	0	0	0	0	0	0	0	0	0	0	0
18q	0	0	0	0	0.788	0	-0.91	0	-0.812	0	-0.821	-0.285	0	0	0	0.591	0	0	-0.512	0	-0.605	0	0	0	0	0	0	0	-0.302	0	0	-0.763	0.018	-0.754	0	0	0	0	-0.101	-0.696	0	0	0	0	0	0	-0.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	-0.694	0	-0.443	0	0	0	0	0	-0.924	0	0	0	-0.319	0	0	0	-0.405	-0.291	0	0	0	0	0	0	-0.199	-0.927	0	0	0	0	0	0	0	0	-0.929	0	0.415	0	0	0	0	0	-0.836	0	0	0	0	0	0	0	0	0	0	0	0	0
19p	0	0	0	0	0	0	0.048	0	-0.362	0	0	0.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514	0	0	0.046	0	0	0	0	0	0	0.817	0	0	0	-0.27	0	0	0	0	-0.734	0	-0.483	0	0	0	0	0	0	0	0	-0.285	0	0	0.735	0.383	0	-0.012	0	0	0.577	0	0	0	0	0	0	0	0	0.094	0	-0.398	0	-0.179	-0.57	0	0	0	0	0.306	0	0.707	0	0	0	0	0	0	0	0	0	0	0	1.012	0	0	0	0	0.944	-0.818	-0.371	0	-0.258	0	0	0	0	0	0	0	0	-0.361	0
19q	0	0	0	0	0	0	0.893	0	0	0	0	0.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514	0	0	0.38	0	0	0	0	0	0	-0.29	0	0	0	-0.27	0	-0.429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735	0.383	0	0.689	0	0	0.577	0	0	0	0	0	0	0	0	0.451	0	0	0	0.647	0	0	0	0	0	0.306	0	0.707	0	0	0	0	0	0	-0.577	0	0	0	0	1.012	0	0	0	0	0.944	-0.375	0	0	-0.258	0	0	0	0	0	0	0	0	0.329	0
